"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B585-A_Gain","B695-A_Gain","B780-A_Gain","R670-A_Gain","R780-A_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B585-A","B695-A","B780-A","R670-A","R780-A","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"22-DEC-2023",2023-12-22 11:07:52,"2023-12-22","11H 7M 52S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110175.296875,68133.9765625,106127,95634.75,66108.0234375,94853,11162.1005859375,9777.3505859375,9074.1005859375,6326.35009765625,9884.7001953125,5880.419921875,NA,NA,NA,NA
"21-DEC-2023",2023-12-21 14:57:42,"2023-12-21","14H 57M 42S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,108747.4453125,68064.359375,105001,94099.203125,66009.78125,93498,10777.8505859375,9474.30078125,9826.650390625,8918.9501953125,10364.759765625,9499.1396484375,NA,NA,NA,NA
"13-DEC-2023",2023-12-13 11:25:36,"2023-12-13","11H 25M 36S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,104145.1171875,67258.58203125,101889,98223.73046875,66676.73828125,96652.5,11634.80078125,10097.80078125,9976,8199.75,10565.7495117188,8438.2998046875,NA,NA,NA,NA
"11-DEC-2023",2023-12-11 12:28:31,"2023-12-11","12H 28M 31S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,104413.890625,67127.234375,102456,98569.5546875,66840.6171875,96746,11456.4501953125,10049.9501953125,11088.150390625,11676.8505859375,10973.2998046875,12369.5,NA,NA,NA,NA
"08-DEC-2023",2023-12-08 13:32:34,"2023-12-08","13H 32M 34S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,107806.53125,67330.7890625,105229,103026.8515625,67342.15625,100877,12017.6005859375,10444.3505859375,10203.650390625,8022.85009765625,10517,7892.2998046875,NA,NA,NA,NA
"06-DEC-2023",2023-12-06 14:10:29,"2023-12-06","14H 10M 29S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,106312.0234375,66863.21875,104290,91860.40625,66509.953125,90648,11046.1005859375,9584.5,9925.25,8994.3505859375,10450.69921875,9656.3994140625,NA,NA,NA,NA
"05-DEC-2023",2023-12-05 12:27:57,"2023-12-05","12H 27M 57S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110245.921875,67079.453125,107766,100537.203125,67104.8984375,98272,11714.55078125,10254.400390625,10551.650390625,9649.75,10747.099609375,10114,NA,NA,NA,NA
"01-DEC-2023",2023-12-01 09:58:12,"2023-12-01","9H 58M 12S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,109127.1328125,66950.7734375,106919,97484.953125,66756.4140625,95835,11507.2001953125,10032.55078125,10480.6005859375,10052.8505859375,10708.099609375,10909.599609375,NA,NA,NA,NA
"30-NOV-2023",2023-11-30 10:01:54,"2023-11-30","10H 1M 54S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,116581.54296875,67398.73828125,113397,109393.8046875,67785.74609375,105819.5,12475.80078125,10935.1752929688,11559.400390625,10963.4501953125,11013.599609375,11219,NA,NA,NA,NA
"29-NOV-2023",2023-11-29 10:12:09,"2023-11-29","10H 12M 9S","Unknown","2.16.0","Unknown","",530,530,530,368,368,368,433,470,460,563,444,459,117722.1875,67309.8828125,114660,109576.5,67465.5625,106567,12467.1005859375,10838.75,10390.7001953125,7321.05029296875,10314.19921875,7010.89990234375,NA,NA,NA,NA
"28-NOV-2023",2023-11-28 13:01:37,"2023-11-28","13H 1M 37S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,117219.9921875,67312.40625,114213,108797.8515625,67628.71875,105563,12333.7001953125,10795.25,10479.150390625,7743.00048828125,10364.8994140625,7676.49951171875,NA,NA,NA,NA
"22-NOV-2023",2023-11-22 09:26:38,"2023-11-22","9H 26M 38S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,109415.4296875,67102.875,106927,99454.0546875,67039.984375,97155,11571,10141.30078125,10455.9501953125,9346.7001953125,10758.7998046875,9822.7998046875,NA,NA,NA,NA
"20-NOV-2023",2023-11-20 12:44:45,"2023-11-20","12H 44M 45S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110597.92578125,66970.9453125,108304,98866.078125,66832.95703125,97064,11657.275390625,10219.6005859375,10490.75,9440.22509765625,10912.19921875,9954.099609375,NA,NA,NA,NA
"17-NOV-2023",2023-11-17 13:15:39,"2023-11-17","13H 15M 39S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,111874.3515625,67219.3515625,109094,99835.40625,67044.7109375,97748,11850.8505859375,10344.30078125,10179,8067.80029296875,10549.5,8106.7998046875,NA,NA,NA,NA
"16-NOV-2023",2023-11-16 14:42:49,"2023-11-16","14H 42M 49S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,108441.71875,67090.5546875,105988,96649.75,66786.7578125,94917,11412.9501953125,9968.75,9886.1005859375,8054.75048828125,10550.7998046875,8391.5,NA,NA,NA,NA
"15-NOV-2023",2023-11-15 13:58:59,"2023-11-15","13H 58M 59S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,109329.8671875,67097.2265625,106839,95840.65625,66804.2109375,94109,11392.650390625,9951.3505859375,9954.25,8443.3505859375,10587.19921875,8923.19921875,NA,NA,NA,NA
"10-NOV-2023",2023-11-10 09:31:07,"2023-11-10","9H 31M 7S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,108018.5703125,67111.21875,105642,93718.578125,66708.54296875,92238.5,11354.9501953125,9896.25,9928.87548828125,8659.400390625,10632.0493164062,9495.19970703125,NA,NA,NA,NA
"09-NOV-2023",2023-11-09 11:51:59,"2023-11-09","11H 51M 59S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,108608.1875,67251.9140625,105767,96129.203125,67148.9453125,93967,11398.4501953125,9945.55078125,10087.650390625,8914.6005859375,10683.3994140625,9774.69921875,NA,NA,NA,NA
