"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B585-A_Gain","B695-A_Gain","B780-A_Gain","R670-A_Gain","R780-A_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B585-A","B695-A","B780-A","R670-A","R780-A","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"22-DEC-2022",2022-12-22 11:19:56,"2022-12-22","11H 19M 56S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,102789.8984375,65245.162109375,103196,91316.05078125,64929.708984375,92278,10329.08984375,9361.650390625,10978.2202148438,10591.7998046875,13187.1142578125,12251.119140625,NA,NA,NA,NA
"16-DEC-2022",2022-12-16 11:44:25,"2022-12-16","11H 44M 25S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,106387.6484375,65398.8828125,106671.5,97598.15625,65419.0234375,97899,10951.8095703125,9887.76513671875,11015.75,9549.99462890625,13026.6396484375,10185.25,NA,NA,NA,NA
"15-DEC-2022",2022-12-15 11:20:59,"2022-12-15","11H 20M 59S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,101817,65209.2421875,102321,90733.640625,64873.42578125,91886,10280.439453125,9286.58984375,10304.0703125,8966.8896484375,12708.3095703125,10056.869140625,NA,NA,NA,NA
"12-DEC-2022",2022-12-12 16:14:28,"2022-12-12","16H 14M 28S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,103094.09375,64948.89453125,103931,92258.46875,64297.1484375,94312,10208.16015625,9292.150390625,11692.6796875,13716.51953125,13261.1298828125,16257.099609375,NA,NA,NA,NA
"09-DEC-2022",2022-12-09 12:38:39,"2022-12-09","12H 38M 39S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,58229.09765625,65473.85546875,58028,55046.78125,64663.6796875,55960,6255,5553.0498046875,6431.52978515625,5564.169921875,11187.3994140625,9904.9091796875,NA,NA,NA,NA
"06-DEC-2022",2022-12-06 13:12:01,"2022-12-06","13H 12M 1S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,105689.6953125,65187.185546875,106204,94350.41796875,64916.763671875,95426.5,10611.259765625,9644.51513671875,11338.2294921875,11317.3798828125,13101.3095703125,12912.669921875,NA,NA,NA,NA
"05-DEC-2022",2022-12-05 11:17:42,"2022-12-05","11H 17M 42S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,101708.546875,64944.2734375,102514,93349.6171875,64861.96484375,94390.5,10224.83984375,9319.9501953125,11035.9047851562,11343.0947265625,13229.0346679688,13480.5541992188,NA,NA,NA,NA
"18-NOV-2022",2022-11-18 10:33:38,"2022-11-18","10H 33M 38S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,104053.9453125,65368.591796875,104409,100902.8828125,65122.376953125,101593,10591.7998046875,9508.990234375,11809.439453125,13644.240234375,13359.3798828125,17212.08984375,NA,NA,NA,NA
"17-NOV-2022",2022-11-17 09:48:29,"2022-11-17","9H 48M 29S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,105871.49609375,65487.7578125,105919,101123.1953125,65286.51953125,101587,10787.7900390625,9761.9697265625,11977.6298828125,13874.2846679688,13312.2197265625,17288.068359375,NA,NA,NA,NA
"11-NOV-2022",2022-11-11 10:20:49,"2022-11-11","10H 20M 49S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,111895.1953125,65704.734375,111622,104063.7421875,65967.2578125,103550,11151.9697265625,10103.91015625,12450.2294921875,14657.5498046875,13274.2294921875,17588.05859375,NA,NA,NA,NA
"09-NOV-2022",2022-11-09 10:45:14,"2022-11-09","10H 45M 14S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110031.296875,65209.80078125,110587,100781.9453125,64983.10546875,101738,10875.3603515625,9919.0400390625,10686.3203125,8453.9794921875,11978.6396484375,8369.58984375,NA,NA,NA,NA
"08-NOV-2022",2022-11-08 13:00:51,"2022-11-08","13H 0M 51S","Unknown","FACSCantoII","V96100817","Administrator",530,530,530,368,368,368,433,470,460,563,444,459,107808.296875,65077.419921875,108655,95518.7109375,64674.08984375,96958.5,10577.8994140625,9636.8701171875,11012.9697265625,10466.7001953125,12826.208984375,11787.3798828125,0,28.49,1.39,1.31
"07-NOV-2022",2022-11-07 13:12:38,"2022-11-07","13H 12M 38S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110105.09375,65280.69921875,110546,100497,65132.6953125,101270,10919.83984375,9994.099609375,11420.240234375,10812.8095703125,12720.099609375,11740.2197265625,NA,NA,NA,NA
"03-NOV-2022",2022-11-03 10:02:46,"2022-11-03","10H 2M 46S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110113.1953125,65417.0859375,110358,100819.4765625,65393.44921875,101130,10985.169921875,9985.759765625,11510.58984375,11211.740234375,13320.0791015625,13111.7890625,NA,NA,NA,NA
"02-NOV-2022",2022-11-02 10:04:49,"2022-11-02","10H 4M 49S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,113349.14453125,65462.09765625,113451,104322.28125,65506.673828125,104455.5,11347.9599609375,10349.939453125,11888.669921875,11625.2651367188,13221.8291015625,13285.3642578125,NA,NA,NA,NA
"01-NOV-2022",2022-11-01 10:55:45,"2022-11-01","10H 55M 45S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,109316.6953125,65555.71875,109254,100876.46875,65668.8046875,100869,10905.939453125,9996.8798828125,11777.4697265625,12087.439453125,13075.109375,13558.4990234375,NA,NA,NA,NA
"28-OCT-2022",2022-10-28 10:04:43,"2022-10-28","10H 4M 43S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,108765.8984375,65317.65234375,109146,101186.4375,65175.01953125,101859,10882.3095703125,9930.16015625,12013.76953125,13060.439453125,13558.4990234375,14890.76953125,NA,NA,NA,NA
"27-OCT-2022",2022-10-27 10:08:03,"2022-10-27","10H 8M 3S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110278.796875,65474.357421875,110327,98991.62890625,65478.052734375,99085,11061.6201171875,10144.9150390625,11753.1450195312,11197.83984375,13163.5341796875,12181.689453125,NA,NA,NA,NA
