"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B530-H_Gain","B585-A_Gain","B585-H_Gain","B695-A_Gain","B695-H_Gain","B780-A_Gain","B780-H_Gain","R670-A_Gain","R670-H_Gain","R780-A_Gain","R780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B530-H","B585-A","B585-H","B695-A","B695-H","B780-A","B780-H","R670-A","R670-H","R780-A","R780-H","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"30-DEC-2020",2020-12-30 07:48:00,"2020-12-30","7H 48M 0S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,107411.4296875,65366,107849,89617.1796875,65744.9375,89503,9600.9599609375,NA,9528.349609375,NA,11835.4296875,NA,14849.4296875,NA,11567.359375,NA,16314.8798828125,NA,NA,NA,NA,NA
"29-DEC-2020",2020-12-29 15:19:14,"2020-12-29","15H 19M 14S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,108195.96484375,65078.150390625,109059,89765.82421875,65426.861328125,90150,9770.83984375,NA,9684.5302734375,NA,11399.7705078125,NA,13191.7299804688,NA,11397.1201171875,NA,14313.599609375,NA,NA,NA,NA,NA
"23-DEC-2020",2020-12-23 09:17:19,"2020-12-23","9H 17M 19S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,107326.4296875,65362.0625,107694,87273.109375,65389.986328125,87610,9485.19482421875,NA,9383.1298828125,NA,11366.8896484375,NA,13710.9599609375,NA,11331.83984375,NA,15119.359375,NA,NA,NA,NA,NA
"22-DEC-2020",2020-12-22 09:08:58,"2020-12-22","9H 8M 58S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,109314.6953125,65529.85546875,109470,87673.1484375,65793.2734375,87488,9766.73046875,NA,9653.0205078125,NA,11346.33984375,NA,12633.455078125,NA,11156.4794921875,NA,13498.8798828125,NA,NA,NA,NA,NA
"21-DEC-2020",2020-12-21 08:31:15,"2020-12-21","8H 31M 15S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,108219.1015625,65771.28515625,108000.5,88359.51953125,66203.1328125,87594,9729.740234375,NA,9611.919921875,NA,11354.5595703125,NA,12654.6904296875,NA,11248.6396484375,NA,13603.83984375,NA,NA,NA,NA,NA
"18-DEC-2020",2020-12-18 11:17:27,"2020-12-18","11H 17M 27S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,106361.671875,65253.08984375,107109,83298.7421875,65196.931640625,83903,9399.5703125,NA,9263.9404296875,NA,11199.75,NA,13565.740234375,NA,11151.359375,NA,15057.2797851562,NA,NA,NA,NA,NA
"17-DEC-2020",2020-12-17 08:42:51,"2020-12-17","8H 42M 51S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,110953.625,65882.8125,110485,89113.0234375,66426.90625,88011,10054.4296875,NA,9964.009765625,NA,11639.5205078125,NA,13147.8896484375,NA,11141.1201171875,NA,13770.2392578125,NA,NA,NA,NA,NA
"15-DEC-2020",2020-12-15 08:32:33,"2020-12-15","8H 32M 33S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,108385.0859375,65633.0390625,108364,81262.921875,66063.0546875,80761,9590,NA,9559.8603515625,NA,11801.1796875,NA,14606.9404296875,NA,11535.359375,NA,16194.5595703125,NA,NA,NA,NA,NA
"14-DEC-2020",2020-12-14 09:14:11,"2020-12-14","9H 14M 11S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,107728.265625,65761.1484375,107430,86971.7109375,66225.703125,86157,9676.3095703125,NA,9598.2197265625,NA,10907.9404296875,NA,11010.6904296875,NA,11098.8798828125,NA,11847.6796875,NA,NA,NA,NA,NA
"11-DEC-2020",2020-12-11 08:34:33,"2020-12-11","8H 34M 33S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,109854.4765625,65705.53125,109756,87888.2421875,66279.578125,87034,9772.2099609375,NA,9668.08984375,NA,11817.6201171875,NA,14504.1904296875,NA,11339.51953125,NA,15898.8798828125,NA,NA,NA,NA,NA
