"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B530-H_Gain","B585-A_Gain","B585-H_Gain","B695-A_Gain","B695-H_Gain","B780-A_Gain","B780-H_Gain","R670-A_Gain","R670-H_Gain","R780-A_Gain","R780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B530-H","B585-A","B585-H","B695-A","B695-H","B780-A","B780-H","R670-A","R670-H","R780-A","R780-H","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"21-DEC-2018",2018-12-21 08:53:33,"2018-12-21","8H 53M 33S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,103356.890625,66359.29296875,101799,94314.9609375,67471.65234375,91700,8476.560546875,NA,7447.68017578125,NA,7600.3203125,NA,7641.36010742188,NA,8549.0595703125,NA,7862.61962890625,NA,NA,NA,NA,NA
"20-DEC-2018",2018-12-20 08:51:26,"2018-12-20","8H 51M 26S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,103537.984375,65986.09375,102727,93827.5234375,67060.3359375,91811,8349.1201171875,NA,7329.60009765625,NA,7653.60009765625,NA,7956.00048828125,NA,8797.9599609375,NA,8432.4697265625,NA,NA,NA,NA,NA
"19-DEC-2018",2018-12-19 09:03:12,"2018-12-19","9H 3M 12S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,103103.00390625,65799.84765625,102681,94088.1640625,66708.234375,92500,8242.560546875,NA,7266.96020507812,NA,7648.56030273438,NA,8040.96044921875,NA,8781.58447265625,NA,8517.619140625,NA,NA,NA,NA,NA
"18-DEC-2018",2018-12-18 09:02:40,"2018-12-18","9H 2M 40S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,102108.375,66457.28125,101380.5,96159.6015625,67133.62890625,94177,8280,NA,7125.84033203125,NA,6966.72021484375,NA,6242.40014648438,NA,8591.634765625,NA,6959.37475585938,NA,NA,NA,NA,NA
"17-DEC-2018",2018-12-17 08:32:04,"2018-12-17","8H 32M 4S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,105630.07421875,66486.8515625,104532,96495.12109375,67003.55859375,94168,8514.00048828125,NA,7349.76025390625,NA,7076.88037109375,NA,6364.08032226562,NA,8592.28955078125,NA,6968.54467773438,NA,NA,NA,NA,NA
"14-DEC-2018",2018-12-14 09:10:04,"2018-12-14","9H 10M 4S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,103254.515625,66492.39453125,102208.5,94665.60546875,67332.61328125,91865,8398.80029296875,NA,7207.92016601562,NA,7007.04028320312,NA,6431.04028320312,NA,8476.3544921875,NA,6948.89477539062,NA,NA,NA,NA,NA
"13-DEC-2018",2018-12-13 08:39:56,"2018-12-13","8H 39M 56S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,103532.5234375,66332.8046875,102406.5,95118.484375,67691.5078125,91915,8347.6806640625,NA,7308.00048828125,NA,7167.60034179688,NA,6706.80029296875,NA,8702.330078125,NA,7296.69970703125,NA,NA,NA,NA,NA
"12-DEC-2018",2018-12-12 08:39:07,"2018-12-12","8H 39M 7S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,96909.5390625,66496.640625,95635,89794.0859375,67882.75,86765,7849.4404296875,NA,6847.2001953125,NA,6743.5205078125,NA,6366.240234375,NA,8735.080078125,NA,7397.56982421875,NA,NA,NA,NA,NA
"11-DEC-2018",2018-12-11 10:06:05,"2018-12-11","10H 6M 5S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,97932.3828125,66391.515625,96477,86489.28125,67616.1875,83898,7833.60009765625,NA,6860.16015625,NA,6831.3603515625,NA,6474.240234375,NA,8552.9892578125,NA,7298.009765625,NA,NA,NA,NA,NA
"10-DEC-2018",2018-12-10 08:46:20,"2018-12-10","8H 46M 20S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,99745.1015625,65888.60546875,99250,92846.1640625,67411.59765625,90346,8243.2802734375,NA,7272.72045898438,NA,7292.16015625,NA,6952.3203125,NA,8829.3994140625,NA,7599.3095703125,NA,NA,NA,NA,NA
"07-DEC-2018",2018-12-07 08:28:21,"2018-12-07","8H 28M 21S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,99845.19921875,66112.7578125,99029,93543.125,67060.265625,91533.5,8146.80053710938,NA,7110.00024414062,NA,7169.76025390625,NA,6989.76025390625,NA,8676.1298828125,NA,7486.64990234375,NA,NA,NA,NA,NA
"06-DEC-2018",2018-12-06 08:35:34,"2018-12-06","8H 35M 34S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,102289.0078125,66181.33984375,101342,93996.00390625,67292.95703125,91481,8415.3603515625,NA,7354.080078125,NA,7457.04028320312,NA,7348.3203125,NA,8809.75,NA,7804.9794921875,NA,NA,NA,NA,NA
"05-DEC-2018",2018-12-05 08:51:15,"2018-12-05","8H 51M 15S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,106903.1640625,66143.2578125,105831,97558.5625,67385.109375,94924,8743.6806640625,NA,7617.60009765625,NA,7768.80029296875,NA,7647.84033203125,NA,8837.259765625,NA,7833.7998046875,NA,NA,NA,NA,NA
"04-DEC-2018",2018-12-04 08:52:08,"2018-12-04","8H 52M 8S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,103454.265625,66043.4609375,102655,94786.5625,67104.421875,92732,8468.640625,NA,7400.16015625,NA,7588.80029296875,NA,7604.64013671875,NA,8846.4296875,NA,8061.73974609375,NA,NA,NA,NA,NA
"03-DEC-2018",2018-12-03 09:00:23,"2018-12-03","9H 0M 23S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,93698.15625,65583.9765625,93692,93248.640625,67984.9296875,90209,8176.3203125,NA,7152.48046875,NA,7359.84033203125,NA,7584.48046875,NA,8593.599609375,NA,8195.359375,NA,NA,NA,NA,NA
"30-NOV-2018",2018-11-30 09:08:14,"2018-11-30","9H 8M 14S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,102686.2265625,66061.484375,101771,96298.5625,67154.453125,94137,8359.2001953125,NA,7305.1201171875,NA,7649.2802734375,NA,7986.240234375,NA,8914.5498046875,NA,8589.669921875,NA,NA,NA,NA,NA
