"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B530-H_Gain","B585-A_Gain","B585-H_Gain","B695-A_Gain","B695-H_Gain","B780-A_Gain","B780-H_Gain","R670-A_Gain","R670-H_Gain","R780-A_Gain","R780-H_Gain","FSC-A-% rCV","FSC-H-% rCV","FSC-W-% rCV","SSC-A-% rCV","SSC-H-% rCV","SSC-W-% rCV","B530-A-% rCV","B530-H-% rCV","B585-A-% rCV","B585-H-% rCV","B695-A-% rCV","B695-H-% rCV","B780-A-% rCV","B780-H-% rCV","R670-A-% rCV","R670-H-% rCV","R780-A-% rCV","R780-H-% rCV","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B530-H","B585-A","B585-H","B695-A","B695-H","B780-A","B780-H","R670-A","R670-H","R780-A","R780-H","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"22-DEC-2023",2023-12-22 11:07:52,"2023-12-22","11H 7M 52S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,5.34,0.84,5.11,11.04,0.81,10.69,7.01,NA,6.55,NA,8.46,NA,12.1,NA,4.33,NA,6.58,NA,110175.296875,68133.9765625,106127,95634.75,66108.0234375,94853,11162.1005859375,NA,9777.3505859375,NA,9074.1005859375,NA,6326.35009765625,NA,9884.7001953125,NA,5880.419921875,NA,NA,NA,NA,NA
"21-DEC-2023",2023-12-21 14:57:42,"2023-12-21","14H 57M 42S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,3.46,0.84,3.55,8.33,0.79,8.06,4.99,NA,4.13,NA,6.52,NA,9.5,NA,4.11,NA,5.29,NA,108747.4453125,68064.359375,105001,94099.203125,66009.78125,93498,10777.8505859375,NA,9474.30078125,NA,9826.650390625,NA,8918.9501953125,NA,10364.759765625,NA,9499.1396484375,NA,NA,NA,NA,NA
"13-DEC-2023",2023-12-13 11:25:36,"2023-12-13","11H 25M 36S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,3.91,1.16,4.83,6.59,0.62,6.66,3.81,NA,3.21,NA,5.89,NA,10.26,NA,3.91,NA,5.98,NA,104145.1171875,67258.58203125,101889,98223.73046875,66676.73828125,96652.5,11634.80078125,NA,10097.80078125,NA,9976,NA,8199.75,NA,10565.7495117188,NA,8438.2998046875,NA,NA,NA,NA,NA
"11-DEC-2023",2023-12-11 12:28:31,"2023-12-11","12H 28M 31S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,3.8,1.13,4.62,7.12,0.59,6.96,3.96,NA,3.47,NA,5.82,NA,8.95,NA,3.93,NA,4.67,NA,104413.890625,67127.234375,102456,98569.5546875,66840.6171875,96746,11456.4501953125,NA,10049.9501953125,NA,11088.150390625,NA,11676.8505859375,NA,10973.2998046875,NA,12369.5,NA,NA,NA,NA,NA
"08-DEC-2023",2023-12-08 13:32:34,"2023-12-08","13H 32M 34S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,3.24,0.93,3.23,10.47,1.26,11.39,6.15,NA,5.83,NA,7.14,NA,11.82,NA,5.09,NA,7.2,NA,107806.53125,67330.7890625,105229,103026.8515625,67342.15625,100877,12017.6005859375,NA,10444.3505859375,NA,10203.650390625,NA,8022.85009765625,NA,10517,NA,7892.2998046875,NA,NA,NA,NA,NA
"06-DEC-2023",2023-12-06 14:10:29,"2023-12-06","14H 10M 29S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,2.37,0.34,2.46,6.24,0.61,6.3,3.7,NA,2.96,NA,6.24,NA,10.33,NA,4.17,NA,5.59,NA,106312.0234375,66863.21875,104290,91860.40625,66509.953125,90648,11046.1005859375,NA,9584.5,NA,9925.25,NA,8994.3505859375,NA,10450.69921875,NA,9656.3994140625,NA,NA,NA,NA,NA
"05-DEC-2023",2023-12-05 12:27:57,"2023-12-05","12H 27M 57S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,2.84,0.37,2.95,6.98,0.67,6.94,4.26,NA,3.77,NA,6.28,NA,9.82,NA,4.11,NA,5.62,NA,110245.921875,67079.453125,107766,100537.203125,67104.8984375,98272,11714.55078125,NA,10254.400390625,NA,10551.650390625,NA,9649.75,NA,10747.099609375,NA,10114,NA,NA,NA,NA,NA
"01-DEC-2023",2023-12-01 09:58:12,"2023-12-01","9H 58M 12S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,2.35,0.46,2.47,6.64,0.67,6.7,4.28,NA,3.71,NA,7.63,NA,13.47,NA,5,NA,8.44,NA,109127.1328125,66950.7734375,106919,97484.953125,66756.4140625,95835,11507.2001953125,NA,10032.55078125,NA,10480.6005859375,NA,10052.8505859375,NA,10708.099609375,NA,10909.599609375,NA,NA,NA,NA,NA
"30-NOV-2023",2023-11-30 10:01:54,"2023-11-30","10H 1M 54S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,2.54,0.48,2.67,6.22,0.65,6.23,3.9,NA,3.3,NA,7.55,NA,15.24,NA,4.57,NA,10.62,NA,116581.54296875,67398.73828125,113397,109393.8046875,67785.74609375,105819.5,12475.80078125,NA,10935.1752929688,NA,11559.400390625,NA,10963.4501953125,NA,11013.599609375,NA,11219,NA,NA,NA,NA,NA
"29-NOV-2023",2023-11-29 10:12:09,"2023-11-29","10H 12M 9S","Unknown","2.16.0","Unknown","",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,2.78,0.38,2.74,6.13,0.7,6.09,7.14,NA,8.19,NA,13.49,NA,32.21,NA,15.08,NA,32.47,NA,117722.1875,67309.8828125,114660,109576.5,67465.5625,106567,12467.1005859375,NA,10838.75,NA,10390.7001953125,NA,7321.05029296875,NA,10314.19921875,NA,7010.89990234375,NA,NA,NA,NA,NA
"28-NOV-2023",2023-11-28 13:01:37,"2023-11-28","13H 1M 37S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,2.58,0.38,2.6,6.02,0.67,6.02,7.2,NA,8.18,NA,14.18,NA,35.07,NA,15.69,NA,33.19,NA,117219.9921875,67312.40625,114213,108797.8515625,67628.71875,105563,12333.7001953125,NA,10795.25,NA,10479.150390625,NA,7743.00048828125,NA,10364.8994140625,NA,7676.49951171875,NA,NA,NA,NA,NA
"22-NOV-2023",2023-11-22 09:26:38,"2023-11-22","9H 26M 38S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,NA,470,NA,460,NA,563,NA,444,NA,459,NA,3.23,0.39,3.21,8.08,0.65,7.78,4.51,NA,4.18,NA,6.56,NA,9.38,NA,4.1,NA,5.24,NA,109415.4296875,67102.875,106927,99454.0546875,67039.984375,97155,11571,NA,10141.30078125,NA,10455.9501953125,NA,9346.7001953125,NA,10758.7998046875,NA,9822.7998046875,NA,NA,NA,NA,NA
